CHANNEL,TYP,POSITION,ORT,ADRESSE,ROW
1,Viper Performance,Z-Brücke 1,Dimmerraum 3,10/337,7
2,Viper Performance,Z-Brücke 1,Dimmerraum 3,10/297,6
3,Viper Performance,Z-Brücke 1,Dimmerraum 3,10/257,5
4,Viper Performance,Z-Brücke 1,Dimmerraum 3,10/217,4
5,Viper Performance,Z-Brücke 1,Dimmerraum 3,10/177,3
6,Viper Performance,Z-Brücke 1,Dimmerraum 3,10/137,2
7,Viper Performance,Z-Brücke 1,Dimmerraum 3,10/97,1
11,Viper Performance,Sound Truss SR,Dimmerraum 4,15/201,2
12,Viper Performance,Sound Truss SR,Dimmerraum 4,15/121,1
13,Viper Performance,Sound Truss SRC,Dimmerraum 4,15/161,1
14,Viper Performance,Sound Truss SLC,Dimmerraum 4,15/81,1
15,Viper Performance,Sound Truss SL,Dimmerraum 4,15/41,2
16,Viper Performance,Sound Truss SL,Dimmerraum 4,15/1,1
21,Viper Performance,LX 1,Dimmerraum 2,3/121,15
22,Viper Performance,LX 1,Dimmerraum 2,3/81,14
23,Viper Performance,LX 1,Dimmerraum 2,3/1,11
24,Viper Performance,LX 1,Dimmerraum 2,2/241,9
25,Viper Performance,LX 1,Dimmerraum 2,2/201,8
26,Viper Performance,LX 1,Dimmerraum 2,2/161,7
27,Viper Performance,LX 1,Dimmerraum 2,2/121,5
28,Viper Performance,LX 1,Dimmerraum 2,2/41,2
29,Viper Performance,LX 1,Dimmerraum 2,2/1,1
30,Viper Performance,LX 2,Dimmerraum 1,4/81,15
31,Viper Performance,LX 2,Dimmerraum 1,4/41,14
32,Viper Performance,LX 2,Dimmerraum 1,4/1,13
33,Viper Performance,LX 2,Dimmerraum 2,3/241,8
34,Viper Performance,LX 2,Dimmerraum 2,2/361,3
35,Viper Performance,LX 2,Dimmerraum 2,2/321,2
36,Viper Performance,LX 2,Dimmerraum 2,2/281,1
41,Viper Performance,LX 3,Dimmerraum 1,5/121,15
42,Viper Performance,LX 3,Dimmerraum 1,5/81,14
43,Viper Performance,LX 3,Dimmerraum 1,5/1,11
44,Viper Performance,LX 3,Dimmerraum 1,4/321,8
45,Viper Performance,LX 3,Dimmerraum 1,4/241,5
46,Viper Performance,LX 3,Dimmerraum 1,4/161,2
